1,1,0,2,2,1,1,7,0
3,1,0,1,14,1,3,29,0
4,1,0,5,4,4,4,23,0
36,1,0,17,36,18,36,135,0
9,1,0,3,13,2,7,38,0
8,2,0,8,9,3,8,33,0
14,1,0,7,36,1,11,69,0
15,1,0,5,24,2,11,65,0
7,1,0,4,8,3,7,31,0
32,1,0,14,37,12,29,116,0
17,1,0,5,22,5,15,71,0
57,1,0,11,76,3,57,231,0
28,1,2,6,29,13,28,101,0
13,1,0,9,18,4,11,55,0
6,1,0,2,6,2,6,27,0
2,2,0,7,3,0,2,11,0
5,1,0,7,14,1,0,28,0
10,1,0,14,22,3,0,42,0
3,1,0,5,4,1,0,18,0
8,1,0,11,32,1,0,60,0
17,5,0,24,60,2,0,121,0
8,7,0,13,50,3,0,75,0
3,7,0,8,26,1,0,36,0
1,7,0,4,12,0,0,19,0
1,7,0,6,12,0,0,22,0
5,1,0,1,4,4,0,21,0
4,1,0,6,6,4,0,22,0
5,1,0,1,6,4,0,27,0
2,1,0,4,2,1,0,12,0
3,1,0,3,3,2,0,17,0
3,1,0,15,7,3,0,14,0
2,1,0,3,2,1,0,12,0
0,1,0,2,0,0,0,5,0
2,1,0,12,2,1,0,12,0
2,1,0,3,2,1,0,12,0
2,1,0,3,2,1,0,12,0
20,5,0,8,77,1,0,148,0
8,5,0,3,41,3,0,83,0
5,5,0,8,33,1,0,64,0
6,5,0,3,33,4,0,64,0
4,5,0,5,23,2,0,44,0
2,6,0,6,10,1,0,32,0
7,6,0,16,41,1,0,87,0
0,2,0,18,0,0,0,16,0
3,1,0,11,7,1,0,14,0
4,1,0,2,10,2,0,22,0
4,1,0,5,5,2,0,13,0
16,8,13,19,40,3,0,74,0
3,9,0,12,23,1,0,41,0
2,9,0,4,8,1,0,21,0
5,9,0,12,24,1,0,43,0
8,9,0,16,34,1,0,58,0
9,9,0,22,66,3,0,104,0
1,9,0,2,8,1,0,17,0
1,9,0,3,9,1,0,19,0
3,9,0,6,14,1,0,29,0
4,9,0,10,21,1,0,41,0
2,8,0,3,18,1,0,40,0
4,9,0,9,16,1,0,32,0
2,8,0,3,11,1,0,19,0
3,9,0,5,13,1,0,29,0
5,9,0,8,20,1,0,40,0
4,9,0,10,19,1,0,34,0
